date,equity,peak,dd,year,month
2025-11-06,28012.482788085938,30910.046997070312,-0.09374182476199433,2025,2025-11
2025-11-07,28012.482788085938,30910.046997070312,-0.09374182476199433,2025,2025-11
2025-11-10,28012.482788085938,30910.046997070312,-0.09374182476199433,2025,2025-11
2025-11-11,28012.482788085938,30910.046997070312,-0.09374182476199433,2025,2025-11
2025-11-12,28012.482788085938,30910.046997070312,-0.09374182476199433,2025,2025-11
2025-11-13,28012.482788085938,30910.046997070312,-0.09374182476199433,2025,2025-11
2025-11-14,28012.482788085938,30910.046997070312,-0.09374182476199433,2025,2025-11
2025-11-17,28012.482788085938,30910.046997070312,-0.09374182476199433,2025,2025-11
2025-11-18,28012.482788085938,30910.046997070312,-0.09374182476199433,2025,2025-11
2025-11-19,28012.482788085938,30910.046997070312,-0.09374182476199433,2025,2025-11
2025-11-20,28012.482788085938,30910.046997070312,-0.09374182476199433,2025,2025-11
2025-11-21,28012.482788085938,30910.046997070312,-0.09374182476199433,2025,2025-11
2025-11-25,28012.482788085938,30910.046997070312,-0.09374182476199433,2025,2025-11
2025-11-26,28012.482788085938,30910.046997070312,-0.09374182476199433,2025,2025-11
2025-11-27,28012.482788085938,30910.046997070312,-0.09374182476199433,2025,2025-11
2025-11-28,28012.482788085938,30910.046997070312,-0.09374182476199433,2025,2025-11
2025-12-01,28012.482788085938,30910.046997070312,-0.09374182476199433,2025,2025-12
2025-12-02,28012.482788085938,30910.046997070312,-0.09374182476199433,2025,2025-12
2025-12-03,28012.482788085938,30910.046997070312,-0.09374182476199433,2025,2025-12
2025-12-04,28012.482788085938,30910.046997070312,-0.09374182476199433,2025,2025-12
2025-12-05,28012.482788085938,30910.046997070312,-0.09374182476199433,2025,2025-12
2025-12-08,28012.482788085938,30910.046997070312,-0.09374182476199433,2025,2025-12
2025-12-09,28012.482788085938,30910.046997070312,-0.09374182476199433,2025,2025-12
2025-12-10,28012.482788085938,30910.046997070312,-0.09374182476199433,2025,2025-12
2025-12-11,28012.482788085938,30910.046997070312,-0.09374182476199433,2025,2025-12
2025-12-12,28012.482788085938,30910.046997070312,-0.09374182476199433,2025,2025-12
2025-12-15,28012.482788085938,30910.046997070312,-0.09374182476199433,2025,2025-12
2025-12-16,28012.482788085938,30910.046997070312,-0.09374182476199433,2025,2025-12
2025-12-17,28012.482788085938,30910.046997070312,-0.09374182476199433,2025,2025-12
2025-12-18,28012.482788085938,30910.046997070312,-0.09374182476199433,2025,2025-12
